4:00:00;6:10:00;7:00:00
4:45:00;6:45:00;7:45:00
5:00:00;7:00:00;8:30:00
5:15:00;7:35:00;9:15:00
5:30:00;7:50:00;10:00:00
5:42:00;8:25:00;10:45:00
5:52:00;8:40:00;12:00:00
6:00:00;9:15:00;12:50:00
6:08:00;9:30:00;13:30:00
6:16:00;10:05:00;14:15:00
6:24:00;10:50:00;15:00:00
6:31:00;11:20:00;15:45:00
6:38:00;11:45:00;16:30:00
6:45:00;12:15:00;17:15:00
6:51:00;12:30:00;18:00:00
6:57:00;13:05:00;18:45:00
7:03:00;13:20:00;19:30:00
7:09:00;13:55:00;20:15:00
7:15:00;14:10:00;21:30:00
7:21:00;14:45:00;22:15:00
7:27:00;15:00:00;23:00:00
7:34:00;15:35:00;23:45:00
7:41:00;15:50:00;0:30:00
7:48:00;16:25:00;1:15:00
7:55:00;16:40:00;2:00:00
8:03:00;17:15:00;2:45:00
8:10:00;17:30:00;3:10:00
8:17:00;18:05:00;4:10:00
8:24:00;18:20:00;
8:31:00;18:55:00;
8:38:00;19:10:00;
8:46:00;19:45:00;
8:54:00;20:30:00;
9:03:00;21:05:00;
9:11:00;21:20:00;
9:19:00;21:55:00;
9:27:00;22:10:00;
9:35:00;22:45:00;
9:43:00;23:00:00;
9:51:00;23:35:00;
9:59:00;23:50:00;
10:07:00;0:25:00;
10:15:00;1:10:00;
10:25:00;1:55:00;
10:35:00;2:40:00;
10:45:00;3:25:00;
10:53:00;4:10:00;
11:02:00;;
11:11:00;;
11:19:00;;
11:27:00;;
11:35:00;;
11:43:00;;
11:50:00;;
11:57:00;;
12:04:00;;
12:10:00;;
12:16:00;;
12:22:00;;
12:29:00;;
12:35:00;;
12:42:00;;
12:49:00;;
12:55:00;;
13:03:00;;
13:09:00;;
13:15:00;;
13:21:00;;
13:28:00;;
13:34:00;;
13:41:00;;
13:48:00;;
13:54:00;;
14:00:00;;
14:07:00;;
14:14:00;;
14:21:00;;
14:28:00;;
14:35:00;;
14:42:00;;
14:49:00;;
14:56:00;;
15:05:00;;
15:13:00;;
15:21:00;;
15:29:00;;
15:37:00;;
15:45:00;;
15:52:00;;
16:00:00;;
16:08:00;;
16:16:00;;
16:24:00;;
16:32:00;;
16:40:00;;
16:48:00;;
16:56:00;;
17:03:00;;
17:10:00;;
17:17:00;;
17:24:00;;
17:32:00;;
17:40:00;;
17:48:00;;
17:55:00;;
18:02:00;;
18:09:00;;
18:16:00;;
18:23:00;;
18:31:00;;
18:39:00;;
18:46:00;;
18:53:00;;
19:00:00;;
19:09:00;;
19:18:00;;
19:27:00;;
19:36:00;;
19:45:00;;
19:54:00;;
20:03:00;;
20:12:00;;
20:21:00;;
20:30:00;;
20:39:00;;
20:48:00;;
20:57:00;;
21:06:00;;
21:15:00;;
21:25:00;;
21:35:00;;
21:45:00;;
21:55:00;;
22:04:00;;
22:12:00;;
22:20:00;;
22:28:00;;
22:36:00;;
22:45:00;;
22:54:00;;
23:04:00;;
23:14:00;;
23:25:00;;
23:35:00;;
23:45:00;;
23:55:00;;
0:15:00;;
0:35:00;;
0:50:00;;
1:40:00;;
2:25:00;;
3:10:00;;
